ID	POS	ANN
C:32	  chr1 94313128 94313216 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000565336 +;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA9-ArgTCT +;
C:33	  chr1 159111377 159111474 -; 	 ensGene.bed ENST00000411768 +;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA86-ArgTCT +;
C:34	  chr11 59318766 59318855 +; 	 rmsk.bed tRNA +;  tRNA.bed chr11.tRNA3-ArgTCT +;
C:35	  chr1 148248114 148248191 +; 	 refGene.bed NR_102405 -;  pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA26-AsnGTT +;
C:36	  chr17 8024242 8024332 +; 	 refGene.bed NM_032580 -;  ensGene.bed ENST00000541682 -;  rmsk.bed tRNA +;  tRNA.bed chr17.tRNA4-ArgTCT +;
C:37	  chr1 28975113 28975245 +; 	 refGene.bed NR_004407 +;  ensGene.bed ENST00000602813 +;
C:38	  chr6 72113255 72113320 -; 	 refGene.bed NR_029504 +;  ensGene.bed ENST00000436803 +;  miRNA.bed Name=hsa-miR-30a-3p +;
C:39	  chr1 41220041 41220107 +; 	 refGene.bed NM_001142590 +;  ensGene.bed ENST00000414185 +;  miRNA.bed Name=hsa-miR-30e-3p +;
C:40	  chr8 135817120 135817184 -; 	 refGene.bed NR_029599 +;  ensGene.bed ENST00000362283 +;  miRNA.bed Name=hsa-miR-30d-3p +;
C:41	  chr1 41222971 41223032 +; 	 refGene.bed NM_001142590 +;  ensGene.bed ENST00000414185 +;  miRNA.bed Name=hsa-miR-30c-1-3p +;
C:42	  chr8 135812774 135812834 -; 	 refGene.bed NR_029666 +;  ensGene.bed ENST00000384850 +;  miRNA.bed Name=hsa-miR-30b-3p +;
C:43	  chr1 45242215 45242262 +; 	 refGene.bed NR_000024 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000364043 +;
C:44	  chr1 45243513 45243569 +; 	 refGene.bed NR_001456 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000365161 +;
C:45	  chr1 45244061 45244128 +; 	 refGene.bed NR_001457 +;  pirna2.bed 1 -;  ensGene.bed ENST00000384690 +;  wgRNA.bed CDBox +;
C:46	  chr7 148680845 148680948 +; 	 ensGene.bed ENST00000365484 +;  rmsk.bed scRNA +;
C:47	  chr20 16651286 16651379 -; 	 ensGene.bed ENST00000363624 +;  rmsk.bed scRNA +;
C:48	  chr13 95963083 95963116 -; 	 ensGene.bed ENST00000411366 +;  rmsk.bed scRNA +;
C:49	  chrX 49935842 49935871 -; 	 ensGene.bed ENST00000365625 +;  rmsk.bed scRNA +;
C:50	  chr1 67094167 67094190 +; 	 refGene.bed NM_032291 +;  ensGene.bed ENST00000483060 +;  miRNA.bed Name=hsa-miR-3117-3p +;
C:51	  chr1 76253572 76253656 +; 	 refGene.bed NR_073562 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000384512 +;
C:52	  chr1 76252755 76252834 +; 	 refGene.bed NR_073562 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000528016 +;
C:53	  chr1 76255160 76255232 +; 	 refGene.bed NR_073562 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000364617 +;
C:54	  chr1 93302846 93302935 +; 	 refGene.bed NM_001252273 -;  wgRNA.bed CDBox +;  ensGene.bed ENST00000497519 +;
C:55	  chr1 109643157 109643234 +; 	 refGene.bed NR_003023 +;  wgRNA.bed scaRna +;  ensGene.bed ENST00000602755 +;
C:56	  chr1 110141560 110141585 +; 	 refGene.bed NR_029583 +;  ensGene.bed ENST00000384976 +;  miRNA.bed Name=hsa-miR-197-3p +;
C:57	  chr1 65524121 65524182 -; 	 refGene.bed NR_029516 +;  ensGene.bed ENST00000362265 +;  miRNA.bed Name=hsa-miR-101-3p +;
C:58	  chr9 4850342 4850369 +; 	 refGene.bed NM_001286701 +;  ensGene.bed ENST00000448872 +;  miRNA.bed Name=hsa-miR-101-3p +;
C:59	  chr9 97847743 97847810 +; 	 refGene.bed NM_032823 +;  ensGene.bed ENST00000297979 +;  miRNA.bed Name=hsa-miR-27b-3p +;
C:60	  chr19 13947258 13947322 -; 	 refGene.bed NR_029501 +;  ensGene.bed ENST00000385073 +;  miRNA.bed Name=hsa-miR-27a-3p +;
C:61	  chr8 22102484 22102510 -; 	 refGene.bed NR_029714 +;  ensGene.bed ENST00000385302 +;  miRNA.bed Name=hsa-miR-320a +;
C:62	  chr15 66161394 66161471 -; 	 ensGene.bed ENST00000569304 -;  rmsk.bed tRNA +;  tRNA.bed chr15.tRNA7-GlnCTG +;
C:63	  chr1 145963303 145963377 +; 	 refGene.bed NM_001039703 +;  pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA15-GlnCTG +;
C:64	  chr17 47269889 47269973 +; 	 rmsk.bed tRNA +;  tRNA.bed chr17.tRNA16-GlnTTG +;
C:65	  chr6 27125904 27125980 +; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA33-HisGTG +;
C:66	  chr11 109473921 109473960 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;
C:67	  chr1 149155824 149155900 -; 	 rmsk.bed tRNA +;  tRNA.bed chr1.tRNA106-HisGTG +;
C:68	  chr1 233824492 233824515 +;  LTR + 123 15;
C:69	  chr20 9984915 9984956 -; 	 ensGene.bed ENST00000437504 -;  rmsk.bed tRNA +;
C:70	  chr11 62609093 62609272 -; 	 ensGene.bed ENST00000525239 +;  rmsk.bed snRNA +;
C:71	  chr10 103124604 103124695 -; 	 refGene.bed NM_033637 -;  ensGene.bed ENST00000370183 -;  rmsk.bed snRNA +;
C:72	  chr6 89773287 89773361 -; 	 ensGene.bed ENST00000411069 +;  rmsk.bed snRNA +;
C:73	  chr9 89037855 89037889 -; 	 ensGene.bed ENST00000410361 +;  rmsk.bed snRNA +;
C:74	  chr7 148660405 148660503 +; 	 ensGene.bed ENST00000516507 +;  rmsk.bed scRNA +;
C:75	  chr7 148684227 148684343 -; 	 ensGene.bed ENST00000364228 +;  rmsk.bed scRNA +;
C:76	  chr6 100090113 100090191 -; 	 ensGene.bed ENST00000362433 +;  rmsk.bed scRNA +;
C:77	  chr6 80451642 80451672 +; 	 refGene.bed NR_004393 +;  pirna2.bed 1 -;
C:78	  chr9 72926524 72926568 -; 	 refGene.bed NM_015110 -;  pirna2.bed 1 -;  ensGene.bed ENST00000361138 -;  rmsk.bed DNA +;
C:79	  chrX 64905754 64905794 +; 	 refGene.bed NM_002444 +;  ensGene.bed ENST00000360270 +;  rmsk.bed scRNA +;
C:80	  chr11 116886612 116886707 +; 	 refGene.bed NM_001281749 -;  ensGene.bed ENST00000485363 -;  rmsk.bed scRNA +;
C:81	  chr19 48230969 48231007 -; 	 refGene.bed NM_014601 -;  ensGene.bed ENST00000596225 -;  rmsk.bed scRNA +;
C:82	  chr4 169926398 169926439 +; 	 refGene.bed NM_032783 -;  ensGene.bed ENST00000509108 -;  rmsk.bed scRNA +;
C:83	  chr1 153643725 153643811 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA32-MetCAT +;
C:84	  chr1 155164986 155165052 +; 	 refGene.bed NR_030281 +;  ensGene.bed ENST00000607575 +;  miRNA.bed Name=hsa-miR-92b-3p +;  Low_complexity + -52 -17;
C:85	  chr13 92003613 92003642 +; 	 refGene.bed NR_029508 +;  ensGene.bed ENST00000385233 +;  miRNA.bed Name=hsa-miR-92a-3p +;
C:86	  chr14 50329265 50329570 -; 	 pirna2.bed 1 -;  ensGene.bed ENST00000490232 +;  rmsk.bed srpRNA +;
C:87	  chr14 50053294 50053598 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000557111 -;  rmsk.bed srpRNA +;
C:88	  chr11 92407876 92407905 -; 	 refGene.bed NM_001008781 -;  ensGene.bed ENST00000525166 -;  rmsk.bed SINE +;
C:89	  chr16 57334389 57334479 -; 	 rmsk.bed tRNA +;  chr16.tRNA26-LeuCAG + 6 -1;
C:90	  chr1 249168112 249168168 +; 	 rmsk.bed tRNA +;  chr1.tRNA58-LeuCAA + 60 10;
C:91	  chr6 28908889 28908947 +; 	 rmsk.bed tRNA +;  chr6.tRNA74-LeuCAA + 61 14;
C:92	  chr16 3238093 3238171 +; 	 rmsk.bed tRNA +;  tRNA.bed chr16.tRNA8-ProTGG +;
C:93	  chr11 75946861 75946940 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr11.tRNA12-ProTGG +;
C:94	  chr11 88619469 88619493 -; 	 refGene.bed NM_000842 +;  ensGene.bed ENST00000393297 +;  LTR - -4 -6901;
C:95	  chr1 222638346 222638421 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr1.tRNA56-ThrTGT +;
C:96	  chr1 228752729 228752856 -; 	 ensGene.bed ENST00000327449 -;  rmsk.bed rRNA +;
C:97	  chr6 4428196 4428318 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000364315 +;  LTR - -119 -463;
C:98	  chr6 134578257 134578283 +; 	 refGene.bed NM_001143676 -;  ensGene.bed ENST00000461976 -;  rmsk.bed rRNA +;
C:99	  chr6 28864070 28864110 -; 	 rmsk.bed tRNA +;  chr6.tRNA100-LeuCAA + 6 72;
C:100	  chrM 4305 4401 -; 	 ensGene.bed ENST00000387377 -;  rmsk.bed tRNA +;
C:101	  chrM 5584 5893 -; 	 ensGene.bed ENST00000387409 +;
C:102	  chr1 567868 567909 -; 	 ensGene.bed ENST00000440200 +;
C:103	  chr1 567993 568065 -; 	 ensGene.bed ENST00000440200 +;  rmsk.bed tRNA +;
C:104	  chrM 7549 7670 -; 	 pirna2.bed 1 -;  ensGene.bed ENST00000361739 -;
C:105	  chr1 569806 569855 -; 	 ensGene.bed ENST00000440200 +;
C:106	  chr1 9211751 9211815 -; 	 refGene.bed NR_029610 +;  ensGene.bed ENST00000385130 +;  miRNA.bed Name=hsa-miR-34a-3p +;
C:107	  chr1 28905263 28905332 -; 	 refGene.bed NR_024127 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000408612 +;
C:108	  chr1 31408535 31408619 -; 	 refGene.bed NM_001020658 +;  pirna2.bed 1 -;  ensGene.bed ENST00000373742 +;  wgRNA.bed CDBox +;
C:109	  chr1 31441011 31441082 -; 	 refGene.bed NM_001020658 +;  pirna2.bed 1 -;  ensGene.bed ENST00000532678 +;  wgRNA.bed CDBox +;
C:110	  chr15 89911261 89911325 +; 	 refGene.bed NR_029692 +;  ensGene.bed ENST00000561327 +;  miRNA.bed Name=hsa-miR-9-3p +;
C:111	  chr5 87962680 87962742 -; 	 refGene.bed NR_015436 +;  ensGene.bed ENST00000513805 +;  miRNA.bed Name=hsa-miR-9-3p +;
C:112	  chr7 148638579 148638663 +; 	 ensGene.bed ENST00000516501 +;  rmsk.bed scRNA +;
C:113	  chr1 71533360 71533386 -; 	 refGene.bed NM_005455 +;  ensGene.bed ENST00000487510 +;  miRNA.bed Name=hsa-miR-186-5p +;
C:114	  chr5 180600648 180600726 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr5.tRNA6-ValCAC +;
C:115	  chr5 180615413 180615489 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr5.tRNA15-ValAAC +;
C:116	  chr6 27248045 27248123 -; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA152-ValCAC +;
C:117	  chr11 59318098 59318174 -; 	 rmsk.bed tRNA +;  tRNA.bed chr11.tRNA17-ValTAC +;
C:118	  chr19 4724644 4724719 -; 	 ensGene.bed ENST00000598041 +;  rmsk.bed tRNA +;  tRNA.bed chr19.tRNA13-ValCAC +;
C:119	  chr2 47507893 47507933 -; 	 pirna2.bed 1 -;  ensGene.bed ENST00000419035 +;  LINE + -312 -38;
C:120	  chr11 59318456 59318532 -; 	 rmsk.bed tRNA +;  tRNA.bed chr11.tRNA16-ValTAC +;
C:121	  chr6 27173887 27173939 -; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA157-ValCAC +;
C:122	  chr1 74272629 74272666 -;  LINE - -34 -717;
C:123	  chr10 5895690 5895746 -; 	 rmsk.bed tRNA +;  tRNA.bed chr10.tRNA6-ValTAC +;
C:124	  chrUn 1631015 1631494 +;
C:125	  chr1 98510828 98510885 -; 	 refGene.bed NR_046105 +;  ensGene.bed ENST00000424528 +;  miRNA.bed Name=hsa-miR-2682-3p +;
C:126	  chr1 98511645 98511705 -; 	 refGene.bed NR_046105 +;  ensGene.bed ENST00000424528 +;  miRNA.bed Name=hsa-miR-137 +;
C:127	  chr1 155889699 155889747 -; 	 refGene.bed NM_014949 +;  wgRNA.bed HAcaBox +;  ensGene.bed ENST00000478002 +;
C:128	  chr1 161425409 161425485 -; 	 rmsk.bed tRNA +;  tRNA.bed chr1.tRNA75-AspGTC +;
C:129	  chr12 98897280 98897354 +; 	 refGene.bed NR_038383 -;  ensGene.bed ENST00000501499 -;  rmsk.bed tRNA +;  tRNA.bed chr12.tRNA5-AspGTC +;
C:130	  chr19 10928103 10928167 -; 	 refGene.bed NM_001005360 -;  ensGene.bed ENST00000408974 -;  miRNA.bed Name=hsa-mir-199a-1 +;
C:131	  chr1 173833288 173833357 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000449589 +;
C:132	  chr1 173833505 173833583 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000449589 +;
C:133	  chr1 173833970 173834043 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000442067 +;
C:134	  chr1 173834761 173834823 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000455838 +;
C:135	  chr1 173835105 173835166 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000455838 +;
C:136	  chr1 173835443 173835479 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000455838 +;
C:137	  chr1 173835773 173835851 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000455838 +;
C:138	  chr1 173836015 173836077 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000455838 +;
C:139	  chr1 173836815 173836882 -; 	 refGene.bed NR_002578 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000455838 +;
C:140	  chr1 175937532 175937597 -; 	 refGene.bed NM_001001740 +;  wgRNA.bed HAcaBox +;  ensGene.bed ENST00000308769 +;
C:141	  chr1 176998507 176998568 -; 	 refGene.bed NM_207108 +;  ensGene.bed ENST00000473640 +;  miRNA.bed Name=hsa-miR-488-3p +;
C:142	  chr1 198828196 198828262 -; 	 refGene.bed NR_040073 +;  ensGene.bed ENST00000432296 +;  miRNA.bed Name=hsa-miR-181a-3p +;
C:143	  chr9 127456002 127456031 +; 	 refGene.bed NM_001278546 -;  ensGene.bed ENST00000344523 -;  miRNA.bed Name=hsa-miR-181b-5p +;
C:144	  chr19 13985537 13985600 +; 	 refGene.bed NR_029613 +;  ensGene.bed ENST00000591727 +;  miRNA.bed Name=hsa-miR-181c-3p +;
C:145	  chr9 127454753 127454819 +; 	 refGene.bed NM_001278546 -;  ensGene.bed ENST00000344523 -;  miRNA.bed Name=hsa-miR-181a-2-3p +;
C:146	  chr19 13985723 13985751 +; 	 refGene.bed NR_030179 +;  ensGene.bed ENST00000591727 +;  miRNA.bed Name=hsa-miR-181d-5p +;
C:147	  chr1 198828014 198828077 -; 	 refGene.bed NR_040073 +;  ensGene.bed ENST00000432296 +;  miRNA.bed Name=hsa-miR-181b-3p +;
C:148	  chr7 130561503 130561566 -; 	 refGene.bed NR_029503 +;  ensGene.bed ENST00000447430 -;  miRNA.bed Name=hsa-miR-29a-3p +;
C:149	  chr1 207975207 207975269 -; 	 refGene.bed NR_029832 +;  ensGene.bed ENST00000385231 +;  miRNA.bed Name=hsa-miR-29c-3p +;
C:150	  chr1 207975793 207975859 -; 	 refGene.bed NR_029518 +;  ensGene.bed ENST00000385055 +;  miRNA.bed Name=hsa-miR-29b-2-5p +;
C:151	  chr1 220373889 220373951 -; 	 refGene.bed NM_012414 +;  wgRNA.bed HAcaBox +;  ensGene.bed ENST00000483278 +;  miRNA.bed Name=hsa-miR-664a-3p +;
C:152	  chr6 52860417 52860748 +; 	 ensGene.bed ENST00000365328 +;  rmsk.bed RNA +;
C:153	  chr6 27509550 27509635 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr6.tRNA147-SerAGA +;
C:154	  chr6 144537677 144537769 +; 	 rmsk.bed tRNA +;  chr6.tRNA83-LeuTAA + -5 4;
C:155	  chr10 69524260 69524362 +; 	 rmsk.bed tRNA +;  tRNA.bed chr10.tRNA2-SerTGA +;
C:156	  chr2 117475362 117475387 -;  LTR - 5 -1732;
C:157	  chr10 70514928 70514996 +; 	 refGene.bed NM_001282960 +;  pirna2.bed 1 -;  ensGene.bed ENST00000483264 +;  wgRNA.bed CDBox +;
C:158	  chr17 37310719 37310815 -; 	 rmsk.bed tRNA +;  tRNA.bed chr17.tRNA26-CysGCA +;
C:159	  chr6 28611221 28611296 +; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA66-AlaTGC +;
C:160	  chr6 28574932 28575009 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000530247 -;  rmsk.bed tRNA +;  tRNA.bed chr6.tRNA65-AlaAGC +;
C:161	  chr2 157257280 157257313 +; 	 rmsk.bed tRNA +;  tRNA.bed chr2.tRNA13-AlaCGC +;
C:162	  chr7 149028219 149028268 +; 	 rmsk.bed tRNA +;  tRNA.bed chr7.tRNA6-CysGCA +;
C:163	  chr6 28626011 28626085 -; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA120-AlaAGC +;
C:164	  chr3 131947965 131948015 -; 	 pirna2.bed 1 -;  ensGene.bed ENST00000512055 +;  rmsk.bed tRNA +;  tRNA.bed chr3.tRNA7-CysGCA +;
C:165	  chr10 104196275 104196336 +; 	 refGene.bed NR_030169 +;  ensGene.bed ENST00000365699 +;  miRNA.bed Name=hsa-miR-146b-3p +;
C:166	  chrUn 1627238 1628918 +;
C:167	  chr14 58706609 58706686 -; 	 ensGene.bed ENST00000554218 +;  rmsk.bed tRNA +;  chr14.tRNA13-LysCTT + 2 -2;
C:168	  chr17 8022472 8022550 +; 	 rmsk.bed tRNA +;  chr17.tRNA2-LysTTT + 1 6;
C:169	  chr5 180634753 180634830 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  chr5.tRNA9-LysCTT + 0 4;
C:170	  chr6 27302765 27302841 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  chr6.tRNA149-LysTTT + 1 -2;
C:171	  chr19 58024408 58024433 -; 	 ensGene.bed ENST00000597061 -;  LTR - -15 -308;
C:172	  chr6 27559590 27559665 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  chr6.tRNA143-LysTTT + 1 -1;
C:173	  chr14 74055531 74055573 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr14.tRNA12-PseudoTTT +;
C:174	  chr16 73512213 73512288 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  chr16.tRNA23-LysTTT + 1 -1;
C:175	  chr2 61874077 61874116 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;
C:176	  chr10 65132728 65132793 -; 	 refGene.bed NM_032776 +;  ensGene.bed ENST00000399251 +;  miRNA.bed Name=hsa-miR-1296-3p +;
C:177	  chr6 27205346 27205423 -; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA154-IleAAT +;
C:178	  chr6 27636361 27636438 +; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr6.tRNA57-IleAAT +;
C:179	  chr20 3898150 3898231 +; 	 refGene.bed NM_153640 +;  ensGene.bed ENST00000336066 +;  miRNA.bed Name=hsa-miR-103b -;
C:180	  chr10 91352511 91352572 -; 	 refGene.bed NM_138316 +;  ensGene.bed ENST00000307534 +;  miRNA.bed Name=hsa-miR-107 +;
C:181	  chr10 105154055 105154118 -; 	 refGene.bed NM_032747 +;  ensGene.bed ENST00000369811 +;  miRNA.bed Name=hsa-miR-1307-5p +;
C:182	  chr10 115933867 115933931 -; 	 refGene.bed NM_018017 +;  ensGene.bed ENST00000369285 +;  miRNA.bed Name=hsa-miR-2110 +;
C:183	  chr11 43602957 43603022 +; 	 refGene.bed NR_029697 +;  ensGene.bed ENST00000533358 +;  miRNA.bed Name=hsa-miR-129-2-3p +;
C:184	  chr11 57408684 57408747 +; 	 refGene.bed NR_029673 +;  ensGene.bed ENST00000530595 +;  miRNA.bed Name=hsa-miR-130a-3p +;
C:185	  chr11 66115590 66115675 +; 	 ensGene.bed ENST00000531602 +;  rmsk.bed tRNA +;  tRNA.bed chr11.tRNA8-SerGCT +;
C:186	  chr6 26305714 26305764 -; 	 rmsk.bed tRNA +;  tRNA.bed chr6.tRNA175-SerGCT +;
C:187	  chr11 75111546 75111582 +; 	 refGene.bed NM_001256802 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000527446 +;
C:188	  chr11 75115568 75115610 +; 	 refGene.bed NM_001256802 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000527446 +;
C:189	  chrUn 1626914 1627216 +;
C:190	  chr11 90016534 90016601 +; 	 refGene.bed NR_104190 +;  ensGene.bed ENST00000561596 +;
C:191	  chr11 93454679 93454788 +; 	 refGene.bed NM_033395 +;  wgRNA.bed scaRna +;  ensGene.bed ENST00000530425 +;
C:192	  chr11 93454962 93455032 +; 	 refGene.bed NM_033395 +;  wgRNA.bed scaRna +;  ensGene.bed ENST00000530425 +;
C:193	  chr11 111384173 111384231 +; 	 refGene.bed NR_029840 +;  ensGene.bed ENST00000384831 +;  miRNA.bed Name=hsa-miR-34c-3p +;
C:194	  chr11 111383674 111383735 +; 	 refGene.bed NR_029839 +;  pirna2.bed 1 -;  ensGene.bed ENST00000385076 +;  miRNA.bed Name=hsa-miR-34b-3p +;
C:195	  chr17 8076770 8076862 -; 	 refGene.bed NM_032354 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000449985 +;  rmsk.bed snRNA +;
C:196	  chr11 123172191 123172232 +; 	 ensGene.bed ENST00000363626 +;  rmsk.bed snRNA +;
C:197	  chr11 568109 568171 -; 	 refGene.bed NR_038262 +;  ensGene.bed ENST00000362168 +;  miRNA.bed Name=hsa-miR-210-5p +;
C:198	  chrM 1985 2592 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000387347 +;  rmsk.bed rRNA +;
C:199	  chr3 96336255 96336303 -; 	 ensGene.bed ENST00000600213 +;
C:200	  chrM 1266 1785 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000387347 +;
C:201	  chrM 1114 1233 +; 	 ensGene.bed ENST00000389680 +;
C:202	  chrM 560 815 +; 	 pirna2.bed 1 -;  ensGene.bed ENST00000389680 +;
C:203	  chr11 10823014 10823058 -; 	 refGene.bed NM_001042559 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000396525 +;
C:204	  chr12 50850526 50850568 +; 	 refGene.bed NM_001170803 +;  ensGene.bed ENST00000520064 +;
C:205	  chr11 10823114 10823154 -; 	 refGene.bed NM_001042559 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000396525 +;
C:206	  chr11 46783940 46783985 -; 	 refGene.bed NM_001008938 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000354558 +;
C:207	  chr12 125412385 125412461 -; 	 pirna2.bed 1 -;  rmsk.bed tRNA +;  tRNA.bed chr12.tRNA11-PheGAA +;
C:208	  chr11 62620381 62620419 -; 	 refGene.bed NR_003098 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000535076 +;
C:209	  chr11 62620800 62620865 -; 	 refGene.bed NR_003098 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000535076 +;
C:210	  chr11 62621135 62621205 -; 	 refGene.bed NR_003098 +;  wgRNA.bed CDBox +;  ensGene.bed ENST00000535076 +;
